Vessel Name,Voyage,Local Voyage,Service,ETA Berth,ETD,Terminal
ANL DARWIN TRADER,09PCYS1MA,0012S,PAX ANL (PAXANL),10/12/2023 03:00,10/14/2023 3:00,PSA TERMINAL
SUMBER JAYA 22,W426FN,QB366,South East Asia Feeder 1 (SEASIA1),10/12/2023 03:25,10/12/2023 04:25,PSA TERMINAL
BALTIC NORTH,04IFME1MA,04IFME1MA,Asea Kenya (ASEA2),10/12/2023 05:00,10/12/2023 18:00,PSA TERMINAL
FELIXSTOWE,0HG8HW1MA,40W,Asia Subcontinent Express 9 (AS9),10/12/2023 09:00,10/13/2023 2:00,PSA TERMINAL
SINDO GARUDA KENCANA,2018DR,261 JN,South East Asia Feeder 68 (SEASIA68),10/12/2023 08:03,10/13/2023 12:03,PSA TERMINAL
DANUM 160,420F8R,60209A,PENANG PORT KELANG SINGAPORE SERVICE (MA5APL),10/12/2023 09:00,10/12/2023 17:00,PSA TERMINAL
SINAR SORONG,373H9N,0192S,South East Asia Feeder 75 (SEASIA75),10/12/2023 10:00,10/13/2023 10:00,PSA TERMINAL
NAP 902,213J4S,,Englee Feeder Service (MAREXT),10/12/2023 11:00,10/13/2023 12:00,PSA TERMINAL
MAERSK VARNA,I4S8JS,,South East Asia Feeder 51 (SEASIA51),10/12/2023 11:02,10/12/2023 17:02,PSA TERMINAL
DANU BHUM,0RCBBN1MA,525S,Singapore Songkhla Express (RSECNC),10/12/2023 13:00,10/13/2023 9:00,PSA TERMINAL
X-PRESS BARDSEY,0FH9KE1MA,23008E,Asia Subcontinent Express 8 (AS8),10/12/2023 12:00,10/13/2023 21:00,PSA TERMINAL
MARCOPOLO 268,183J4S,,Englee Feeder Service (MAREXT),10/12/2023 13:00,10/13/2023 14:00,PSA TERMINAL
ATI BHUM,195E1W,302NE,RCL Palembang Pasir Gudang Service (RPE2ATI),10/12/2023 14:00,10/13/2023 2:00,PSA TERMINAL
GOLDEN STAR 1,7313TN,6229S,South East Asia Feeder 13 (SEASIA13),10/12/2023 17:00,10/13/2023 9:00,PSA TERMINAL
MARCO POLO 128,5548AR,,South East Asia Feeder 49 (SEASIA49),10/12/2023 17:30,10/13/2023 7:30,PSA TERMINAL
CAPRICORN 57,W486FN,MB069,South East Asia Feeder 1 (SEASIA1),10/12/2023 21:00,10/12/2023 22:00,PSA TERMINAL
SINAR BUKITTINGI,3492VR,,South East Asia Feeder 8 (SEASIA8),10/12/2023 22:00,10/12/2023 23:00,PSA TERMINAL
SAMUDRA BINTAN 88,W626FN,19K23P,South East Asia Feeder 1 (SEASIA1),10/12/2023 23:30,10/13/2023 9:30,PSA TERMINAL
QINGDAO TOWER,0XL3TS1MA,0XL3TS1NC,Korea China South East Asia Service (KCSCNC),10/13/2023 2:00,10/14/2023 1:00,PSA TERMINAL
MTT SIBU,C373DW,,SGSIN MYPGU SGSIN Service (PGU1APL),10/13/2023 2:00,10/13/2023 20:00,PSA TERMINAL
INDO SUKSES 50,2962BE,,South East Asia Feeder 4 (SEASIA4),10/13/2023 2:00,10/14/2023 22:00,PSA TERMINAL
CAPRICORN 59,W606FN,RB706,South East Asia Feeder 1 (SEASIA1),10/13/2023 2:05,10/13/2023 3:05,PSA TERMINAL
MTT SIBU,6111YN,,South East Asia Feeder 2 (SEASIA2),10/13/2023 3:00,10/13/2023 19:00,PSA TERMINAL
BATAMINDO V,C63J0S,,Batamindo Feeder Service (BATAMAPL),10/13/2023 4:46,10/13/2023 22:45,PSA TERMINAL
MARCO POLO 220,173J4S,SO069J,Englee Feeder Service (MAREXT),10/13/2023 7:00,10/14/2023 8:00,PSA TERMINAL
KOTA RAJIN,127D3R,0300S,SINGAPORE MONGLA SERVICE (MGBAPL),10/13/2023 7:30,10/14/2023 15:30,PSA TERMINAL
MARCOPOLO 262,0942ZR,,South East Asia Feeder 11 (SEASIA11),10/13/2023 9:00,10/14/2023 7:00,PSA TERMINAL
